"COM";"REG";"DEP";"LIBCOM";"code_iris";"LIBIRIS";"num";"P14_POP";"longitude";"latitude"
"01185";84;"01";"Hauteville-Lompnes";"011850000";"Hauteville-Lompnes (commune non iris<e9>e)";380;3829;5.58082505;45.9622583003482
"01186";84;"01";"Hostiaz";"011860000";"Hostiaz (commune non iris<e9>e)";17;87;5.5400658;45.904962800357
"01187";84;"01";"Haut Valromey";"011870000";"Haut Valromey (commune non iris<e9>e)";76;701;5.6848733;46.0433281503355
"01188";84;"01";"Illiat";"011880000";"Illiat (commune non iris<e9>e)";13;601;4.88836325;46.183884100313
"01189";84;"01";"Injoux-G<e9>nissiat";"011890000";"Injoux-G<e9>nissiat (commune non iris<e9>e)";15;1144;5.7676552;46.0504782003346
"01190";84;"01";"Innimond";"011900000";"Innimond (commune non iris<e9>e)";1;115;5.5722184;45.7874830003741
"01192";84;"01";"Izernore";"011920000";"Izernore (commune non iris<e9>e)";190;2294;5.56107995;46.2155486503078
"01193";84;"01";"Izieu";"011930000";"Izieu (commune non iris<e9>e)";15;231;5.63924835;45.6556190003925
"01194";84;"01";"Jassans-Riottier";"011940101";"Nord";122;4068;4.7625009;45.977061850346
"01194";84;"01";"Jassans-Riottier";"011940102";"Sud";13;2154;4.7625009;45.977061850346
"01195";84;"01";"Jasseron";"011950000";"Jasseron (commune non iris<e9>e)";396;1709;5.316872;46.2174151503074
"01196";84;"01";"Jayat";"011960000";"Jayat (commune non iris<e9>e)";30;1124;5.11174335;46.3698107502814
"01197";84;"01";"Journans";"011970000";"Journans (commune non iris<e9>e)";35;356;5.33330655;46.1454716003193
"01198";84;"01";"Joyeux";"011980000";"Joyeux (commune non iris<e9>e)";6;276;5.09978095;45.9460814503507
"01199";84;"01";"Jujurieux";"011990000";"Jujurieux (commune non iris<e9>e)";19;2192;5.4123205;46.0503296503346
"01200";84;"01";"Labalme";"012000000";"Labalme (commune non iris<e9>e)";17;210;5.49406165;46.0914374503281
"01202";84;"01";"Lagnieu";"012020102";"Sud";265;3884;5.33950995;45.8863028503597
"01202";84;"01";"Lagnieu";"012020101";"Nord";92;3069;5.33950995;45.8863028503597
"01203";84;"01";"Laiz";"012030000";"Laiz (commune non iris<e9>e)";416;1191;4.9005657;46.2461470003026
"01204";84;"01";"Le Poizat-Lalleyriat";"012040000";"Le Poizat-Lalleyriat (commune non iris<e9>e)";87;699;5.69609355;46.1393423503203
"01205";84;"01";"Lancrans";"012050000";"Lancrans (commune non iris<e9>e)";8;1028;5.84106945;46.1297168003219
"01206";84;"01";"Lantenay";"012060000";"Lantenay (commune non iris<e9>e)";188;262;5.537828;46.0529634503342
"01207";84;"01";"Lapeyrouse";"012070000";"Lapeyrouse (commune non iris<e9>e)";24;341;4.98204845;45.9849267503448
"01208";84;"01";"Lavours";"012080000";"Lavours (commune non iris<e9>e)";22;137;5.7705887;45.8108511503708
"01209";84;"01";"L<e9>az";"012090000";"L<e9>az (commune non iris<e9>e)";87;687;5.87713405;46.1113635503248
"01210";84;"01";"L<e9>lex";"012100000";"L<e9>lex (commune non iris<e9>e)";163;238;5.9275814;46.2855676002959
"01211";84;"01";"Lent";"012110000";"Lent (commune non iris<e9>e)";55;1426;5.1973712;46.116674200324
"01212";84;"01";"Lescheroux";"012120000";"Lescheroux (commune non iris<e9>e)";53;708;5.15708025;46.4088592002745
"01213";84;"01";"Leyment";"012130000";"Leyment (commune non iris<e9>e)";60;1248;5.29250235;45.9285524503534
"01214";84;"01";"Leyssard";"012140000";"Leyssard (commune non iris<e9>e)";2;152;5.47632475;46.1609307003168
"01215";84;"01";"Lh<f4>pital";"012150000";"Lh<f4>pital (commune non iris<e9>e)";1;49;5.75762405;46.0246009003387
"01216";84;"01";"Lhuis";"012160000";"Lhuis (commune non iris<e9>e)";20;884;5.5396634;45.7467022003799
"01218";84;"01";"Lochieu";"012180000";"Lochieu (commune non iris<e9>e)";3;96;5.7406215;45.9286041503534
"01219";84;"01";"Lompnas";"012190000";"Lompnas (commune non iris<e9>e)";2;166;5.5261982;45.8119157003706
"01221";84;"01";"Lompnieu";"012210000";"Lompnieu (commune non iris<e9>e)";2;115;5.6584003;45.9669526503476
"01224";84;"01";"Loyettes";"012240000";"Loyettes (commune non iris<e9>e)";26;3158;5.2163559;45.795247850373
"01225";84;"01";"Lurcy";"012250000";"Lurcy (commune non iris<e9>e)";10;395;4.7799422;46.0627627003326
"01227";84;"01";"Magnieu";"012270000";"Magnieu (commune non iris<e9>e)";15;458;5.713752;45.7763896003757
"01228";84;"01";"Maillat";"012280000";"Maillat (commune non iris<e9>e)";301;639;5.5351185;46.1202328003234
"01229";84;"01";"Malafretaz";"012290000";"Malafretaz (commune non iris<e9>e)";64;1149;5.1460977;46.3299018002883
"01230";84;"01";"Mantenay-Montlin";"012300000";"Mantenay-Montlin (commune non iris<e9>e)";4;306;5.10647795;46.4318878002704
"01231";84;"01";"Manziat";"012310000";"Manziat (commune non iris<e9>e)";55;1976;4.90257185;46.3650282002822
"01232";84;"01";"Marboz";"012320000";"Marboz (commune non iris<e9>e)";340;2205;5.24592185;46.3454728002855
"01233";84;"01";"Marchamp";"012330000";"Marchamp (commune non iris<e9>e)";2;130;5.5507924;45.7764123503757
"01235";84;"01";"Marlieux";"012350000";"Marlieux (commune non iris<e9>e)";29;1032;5.07560665;46.054108600334
"01236";84;"01";"Marsonnas";"012360000";"Marsonnas (commune non iris<e9>e)";19;987;5.06075705;46.3400779002866
"01237";84;"01";"Martignat";"012370000";"Martignat (commune non iris<e9>e)";347;1573;5.610021;46.2030148003099
"01238";84;"01";"Massieux";"012380000";"Massieux (commune non iris<e9>e)";492;2482;4.82796995;45.9102055003562
"01239";84;"01";"Massignieu-de-Rives";"012390000";"Massignieu-de-Rives (commune non iris<e9>e)";15;635;5.7571242;45.7562564003786
"01240";84;"01";"Matafelon-Granges";"012400000";"Matafelon-Granges (commune non iris<e9>e)";34;649;5.524518;46.2507892503018
"01241";84;"01";"Meillonnas";"012410000";"Meillonnas (commune non iris<e9>e)";33;1310;5.3346119;46.2452290503028
"01242";84;"01";"M<e9>rignat";"012420000";"M<e9>rignat (commune non iris<e9>e)";8;124;5.4424787;46.0652526503322
"01243";84;"01";"Messimy-sur-Sa<f4>ne";"012430000";"Messimy-sur-Sa<f4>ne (commune non iris<e9>e)";15;1224;4.7611014;46.047696300335
"01244";84;"01";"Meximieux";"012440103";"l'Etang";50;2439;5.21161835;45.904701200357
"01244";84;"01";"Meximieux";"012440102";"La Colline";180;2333;5.21161835;45.904701200357
"01244";84;"01";"Meximieux";"012440101";"l'Horloge";150;2767;5.21161835;45.904701200357
"01245";84;"01";"Bohas-Meyriat-Rignat";"012450000";"Bohas-Meyriat-Rignat (commune non iris<e9>e)";14;884;5.3748387;46.1421828003199
"01246";84;"01";"M<e9>z<e9>riat";"012460000";"M<e9>z<e9>riat (commune non iris<e9>e)";88;2137;5.04803085;46.2424558503033
"01247";84;"01";"Mijoux";"012470000";"Mijoux (commune non iris<e9>e)";87;348;6.01039065;46.3591628502832
"01248";84;"01";"Mionnay";"012480000";"Mionnay (commune non iris<e9>e)";341;2130;4.9274698;45.8960117503583
"01249";84;"01";"Miribel";"012490102";"Centre";247;3991;4.9409566;45.8443302003659
"01249";84;"01";"Miribel";"012490103";"Ouest";1155;2946;4.9409566;45.8443302003659
"01249";84;"01";"Miribel";"012490101";"Est";168;2488;4.9409566;45.8443302003659
"01250";84;"01";"Mis<e9>rieux";"012500000";"Mis<e9>rieux (commune non iris<e9>e)";48;1877;4.8136769;45.9746142503464
"01252";84;"01";"Mogneneins";"012520000";"Mogneneins (commune non iris<e9>e)";21;779;4.8202636;46.1453534003194
"01254";84;"01";"Montagnat";"012540000";"Montagnat (commune non iris<e9>e)";180;1893;5.27770165;46.172047750315
"01255";84;"01";"Montagnieu";"012550000";"Montagnieu (commune non iris<e9>e)";4;584;5.4598688;45.8019134003721
"01257";84;"01";"Montanges";"012570000";"Montanges (commune non iris<e9>e)";2;343;5.7901902;46.1710528503151
"01258";84;"01";"Montceaux";"012580000";"Montceaux (commune non iris<e9>e)";19;1211;4.8040013;46.0977456503271
"01259";84;"01";"Montcet";"012590000";"Montcet (commune non iris<e9>e)";2;663;5.1122139;46.220098450307
"01260";84;"01";"Le Montellier";"012600000";"Le Montellier (commune non iris<e9>e)";2;272;5.06991385;45.9285297503534
"01261";84;"01";"Monthieux";"012610000";"Monthieux (commune non iris<e9>e)";55;655;4.94804175;45.9629507003482
"01262";84;"01";"Montluel";"012620102";"Sud";999;3592;5.0184365;45.8866423003596
"01262";84;"01";"Montluel";"012620101";"Nord";112;3444;5.0184365;45.8866423003596
"01263";84;"01";"Montmerle-sur-Sa<f4>ne";"012630000";"Montmerle-sur-Sa<f4>ne (commune non iris<e9>e)";88;3811;4.75897065;46.0842992003292
"01264";84;"01";"Montracol";"012640000";"Montracol (commune non iris<e9>e)";16;1013;5.1234619;46.1821517003133
"01265";84;"01";"Montr<e9>al-la-Cluse";"012650000";"Montr<e9>al-la-Cluse (commune non iris<e9>e)";2707;3409;5.597533;46.1811800003135
"01266";84;"01";"Montrevel-en-Bresse";"012660000";"Montrevel-en-Bresse (commune non iris<e9>e)";436;2452;5.11225205;46.326179750289
"01267";84;"01";"Nurieux-Volognat";"012670000";"Nurieux-Volognat (commune non iris<e9>e)";31;1027;5.5155381;46.1852097503128
"01268";84;"01";"Murs-et-G<e9>lignieux";"012680000";"Murs-et-G<e9>lignieux (commune non iris<e9>e)";17;253;5.65899125;45.6402400503946
"01269";84;"01";"Nantua";"012690000";"Nantua (commune non iris<e9>e)";2215;3534;5.60779145;46.1488460503188
"01272";84;"01";"Neuville-les-Dames";"012720000";"Neuville-les-Dames (commune non iris<e9>e)";66;1494;5.0102722;46.159928250317
"01273";84;"01";"Neuville-sur-Ain";"012730000";"Neuville-sur-Ain (commune non iris<e9>e)";107;1645;5.37020915;46.0907524503282
"01274";84;"01";"Les Neyrolles";"012740000";"Les Neyrolles (commune non iris<e9>e)";63;638;5.63529675;46.1366995003208
"01275";84;"01";"Neyron";"012750000";"Neyron (commune non iris<e9>e)";178;2467;4.93542825;45.8203027503694
"01276";84;"01";"Ni<e9>vroz";"012760000";"Ni<e9>vroz (commune non iris<e9>e)";563;1529;5.06159485;45.8241053503689
"01277";84;"01";"Nivollet-Montgriffon";"012770000";"Nivollet-Montgriffon (commune non iris<e9>e)";1;119;5.4573114;46.0005018003424
"01279";84;"01";"Oncieu";"012790000";"Oncieu (commune non iris<e9>e)";1;96;5.47167835;45.9685814503473
"01280";84;"01";"Ordonnaz";"012800000";"Ordonnaz (commune non iris<e9>e)";1;157;5.54354755;45.8357756503672
"01281";84;"01";"Ornex";"012810000";"Ornex (commune non iris<e9>e)";223;4303;6.0952948;46.2779780002973
"01283";84;"01";"Oyonnax";"012830202";"Ville Est";212;2081;5.65229825;46.2600741003003
"01283";84;"01";"Oyonnax";"012830102";"Zus Centre";539;2147;5.65229825;46.2600741003003
"01283";84;"01";"Oyonnax";"012830306";"Bouvent";42;132;5.65229825;46.2600741003003
"01283";84;"01";"Oyonnax";"012830201";"Ville Sud";515;2488;5.65229825;46.2600741003003
"01283";84;"01";"Oyonnax";"012830104";"Zus Ouest";353;2338;5.65229825;46.2600741003003
"01283";84;"01";"Oyonnax";"012830302";"Parc Industriel Nord";10;18;5.65229825;46.2600741003003
"01283";84;"01";"Oyonnax";"012830103";"Zus Nord Est";354;2817;5.65229825;46.2600741003003
