"DEP","COM","code_iris","REG","LIBCOM","LIBIRIS","num","P14_POP","NOM_COM","lon","lat","Geo.Point"
"75","75104","751041503","11","Paris 4e Arrondissement","Arsenal 3",4920,1955,"Paris 4e Arrondissement","48.8528178129"," 2.36570071579","48.8528178129, 2.36570071579"
"75","75104","751041504","11","Paris 4e Arrondissement","Arsenal 4",6987,1878,"Paris 4e Arrondissement","48.8548560558"," 2.36612346003","48.8548560558, 2.36612346003"
"75","75104","751041588","11","Paris 4e Arrondissement","Bassin de l'Arsenal",994,0,"Paris 4e Arrondissement","48.8502212262"," 2.36733389382","48.8502212262, 2.36733389382"
"75","75104","751041599","11","Paris 4e Arrondissement","Seine et Berges 3",1127,0,"Paris 4e Arrondissement","48.8487620448"," 2.36244156021","48.8487620448, 2.36244156021"
"75","75104","751041601","11","Paris 4e Arrondissement","Notre Dame 1",5080,2351,"Paris 4e Arrondissement","48.8517461002"," 2.35663332552","48.8517461002, 2.35663332552"
"75","75104","751041602","11","Paris 4e Arrondissement","Notre Dame 2",1518,583,"Paris 4e Arrondissement","48.8538778015"," 2.35102091653","48.8538778015, 2.35102091653"
"75","75104","751041603","11","Paris 4e Arrondissement","Notre Dame 3",40016,108,"Paris 4e Arrondissement","48.8539970853"," 2.34833077193","48.8539970853, 2.34833077193"
"75","75104","751041699","11","Paris 4e Arrondissement","Seine et Berges 4",8895,0,"Paris 4e Arrondissement","48.8518391753"," 2.35551351631","48.8518391753, 2.35551351631"
"75","75105","751051701","11","Paris 5e Arrondissement","Saint-Victor 1",31387,2244,"Paris 5e Arrondissement","48.8460954058"," 2.35382222568","48.8460954058, 2.35382222568"
"75","75105","751051702","11","Paris 5e Arrondissement","Saint-Victor 2",884,1526,"Paris 5e Arrondissement","48.8448783193"," 2.35345622321","48.8448783193, 2.35345622321"
"75","75105","751051703","11","Paris 5e Arrondissement","Saint-Victor 3",1913,2517,"Paris 5e Arrondissement","48.8460685865"," 2.35035211861","48.8460685865, 2.35035211861"
"75","75105","751051704","11","Paris 5e Arrondissement","Saint-Victor 4",5154,3231,"Paris 5e Arrondissement","48.8487384344"," 2.35197641692","48.8487384344, 2.35197641692"
"75","75105","751051705","11","Paris 5e Arrondissement","Saint-Victor 5",5329,2306,"Paris 5e Arrondissement","48.8502359439"," 2.35170404341","48.8502359439, 2.35170404341"
"75","75105","751051706","11","Paris 5e Arrondissement","Saint-Victor 6",4309,9,"Paris 5e Arrondissement","48.8471855064"," 2.3569436413","48.8471855064, 2.3569436413"
"75","75105","751051799","11","Paris 5e Arrondissement","Seine et berges 1",1877,70,"Paris 5e Arrondissement","48.8496215203"," 2.35616906256","48.8496215203, 2.35616906256"
"75","75105","751051801","11","Paris 5e Arrondissement","Jardin des Plantes 1",430,1880,"Paris 5e Arrondissement","48.8395371476"," 2.35883397293","48.8395371476, 2.35883397293"
